1598400000	970	970
1598486400	915	940
1598623508	852	910
1598837588	810	880
1598870029	765	850
1598885111	750	820
1598965466	710	790
1599071436	680	760
1599157836	-1	730
1599244236	-1	700
1599330636	-1	670
1599417036	-1	640
1599503436	-1	610
1599589836	-1	580
1599676236	-1	550
1599762636	-1	520
1599849036	-1	490
1599935436	-1	460
1600021836	-1	430
1600108236	-1	400
1600194636	-1	370
1600281036	-1	340
1600367436	-1	310
1600453836	-1	280
1600540236	-1	250
1600626636	-1	220
1600713036	-1	190
1600799436	-1	160
1600885836	-1	130
1600972236	-1	100
1601058636	-1	70
1601145036	-1	40
1601231436	-1	10
